No,text,score_ideal,
1,"flipkart app gets ping feature, allows users to chat while shopping",1,
2,rt introducing the contest! participate &amp; win rs.2500 flipkart vouchers!,1,
3,focussed on mobility but no timeline to go flipkart - -,-1,
4,"rt flipkart rolls out ping, a social network with built in chat feature",1,
5,let’s shop together on ping by flipkart. here’s an invite,1,
6,rt finding your favourite fashion products was never so easy! try out the new flipkart app!,1,
7,rt this is the team that made  ping possible. they pulled off something not many didn't even dare to think.,1,
8,flipkart 25th august deal of the day ... -,0,
10,competing with flash sale as against  falsh sale of,0,
11,&lt;a apple iphone 6 from,0,
13,"flipkart rolls out ping, a social network with built in chat feature",1,
14,"flipkart and adobe executives join hands with an angel to float platform for used cars, spinny",1,
18,&lt;a apple iphone 6 plus from,0,
20,ceos of two start-ups acquired by flipkart resign,-1,
21,"lover ? f&amp;d a111u multimedia speaker at 50% off rs 1349  here rs 2079 rs 2078",1,
22,flipkart adds social layer to its mobile app with ping,1,
23,"rt \india is leading the mobile revolution in the world &amp; mobile is no more just a choice\"" -""",1,
24,participate and win flipkart vouchers come  join now,1,
25,i m waiting for my copy.. as flipkart say its out for delivery..,-1,
26,"rt  thanks a lot team for this awesome gift.",1,
27,rt consumers can choose contacts they want to share their chosen products with and have real time conversation with them,0,
28,rt flipkart adds social layer to its mobile app with ping,1,
30,"got the replacement &amp; its the same issue. not working after 5.1 upgrade. i'm done, seeking",-1,
31,making sense of flipkart’s and snapdeal’s valuations through their gmv,0,
32,earn  and  vouchers for answering surveys on join at,1,
33,rt for this pic to win vouchers from flipkart!,1,
34,"sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1,
35,"rt launched ping! a fun, social way to shop with friends on flipkart.now go update your flipkart app!",1,
36,&gt;  new feature is invite only. has an option to ask friends for one. but doesn't tell me who has one. uh.,-1,
37,- 51% off on bosch gsb 500 re kit power &amp; hand tool kit at flipkart,1,
38,thank you. this link takes me to the flipkart first page on the app but doesn't allow me to renew it.,-1,
39,"follow to win &amp; stand a chance to win 2  vouchers!",1,
41,invite your friends for the  vouchers to be won!,-1,
42,hey! do you have an invite for ping by flipkart? please send me one!,0,
43,rt  join the  &amp; stand a chance to win 2  vouc…,1,
44,rt a move towards building social commerce.,1,
45,is not as impressive as new office,-1,
46,love it!! really nice and innovative it is ..,1,
47,rt that awkward moment when bse seems to offer more discounts on stocks than on,-1,
48,invite your friends for the flipkart vouchers to be won!,1,
49,"rt follow to win &amp; stand a chance to win 2  vouchers!",1,
50,rt unlocking  winner congratulations  enjoy your rs.5k voucher from,1,
51,earn    and  vouchers for answering surveys on join at,1,
52,"rt sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1,
