No,text,Score_ideal
1,get the finest onlyn women's wear collection on,1
2,yamaha home theatres upto 20% off  upto 8% from &gt;&gt;,1
4,install snapdeal app,0
7,welcome to snapdeal appshare! a chance to invite friends and earn rewards. - download snapdeal app &amp; sign in using invite code,-1
8,"my order 7430542152, i got refund of just rs. 99.snapdeal cancelled the order not me",0
9,"que tal?, te gustan los objetos frikis? tenemos montones! entra a nuesta pagina web!",0
10,benq gw2760hs 27 inch monitor is selling cheaper at inr 15756 today,1
11,- 64% off on alphabet &amp; number tray in snapdeal at lowest deal price,1
12,- 42% off on jouet sweet cuddle musical cot mobile early development toys in snapdeal at lowest deal …,1
13,- 44% off on intex jump transparent ring bounce in snapdeal at lowest deal price,1
14,superb transformation     lovin it...!!!,1
15,rt in the capital of india! you have gotta check it out,1
16,127 cm (50) full hd led television is selling cheaper at inr 48165 today,1
17,rt its the kind of workplace which evry working person dreams of. its a dream come true for some,1
18,rt  get the finest onlyn women's wear collection on,0
19,rt  we transform lives 'n now spaces! welcome to,0
20,great things can be accomplished with ease when you have the best team in the world! via,1
21,alibaba-backed snapdeal launches similar image search feature findmystyle via,1
22,snapdeal is the best. fun to choose from the large number of brands.,1
23,tata bye bye snapdeal. aise service dete raho or customer bhagte rahenge.,-1
24,practically addicted to shopping on snapdeal. love the huge range of products.,1
25,rt  launches similar image search feature findmystyle by,0
26,rt find out the truth about food myths today!,0
27,rt watch how ramanuja quit his job and created a successful retail business with help of  in,0
28,men’s clothing up to 70% off,1
31,m sure u wanna find these wooden stuff damn sexy,1
32,"rt darshan started his business and took it to the next level with the help of 
watch his story",0
33,moodi musalmano sy q darta hy reply fast?,0
34,newly infrastructure n new office  n new think every thing is new so always choose   4 better services,1
35,its the kind of workplace which evry working person dreams of. its a dream come true for some,1
36,hello  m sure u wanna find these wooden stuff damn sexy,1
37,coffeemug for 8200rs  wow. the perils of a marketplace model. all kinds of junk getting into a great site!!,1
38,- 24% off on timex empera ti000r60300 womens watch at snapdeal,1
42,"get good ratings on products uploaded on flipkart , snapdeal by jazzvin",0
43,please dm us your contact no. we'll get in touch with you &amp; make sure that this is sorted. thanks! -kavya,0
46,"rs 4,999 micromax canvas spark flash sale on budget smartphone available from…",1
47,sir... m sure u wanna find these wooden stuff dam,-1
48,m sure u wanna find these wooden stuff dam sexy,1
50,shop,0
52,"flipkart, snapdeal, amazon, others dole out incentives to sellers",0
54,"hello sir, still there is no response. only one mail received with alternate number requisition. but still no response.",-1
55,direct order the collaboration of snapdeal and tata for buying home online effect the sales pertinent to  zggc,0
56,"there are plenty opportunity out there.
depends on what you can snap into a deal",1
57,what a fast delivery. only in 3 days ...great,1
58,m sure u wll find these wooden cases for iphone damn sexy,1
59,galaxy a5 is selling cheaper by 3% at inr 19200 today,1
60,watch how ramanuja quit his job and created a successful retail business with help of snapdeal in,0
61,desire 500 dual sim is selling cheaper at inr 13999 today,1
62,xperia e4 dual sim is selling cheaper at inr 10150 today,1
63,download best 4 mre offers on …,1
66,30504 value batten emergency lights is selling cheaper at inr 1995 today …,1
67,toys jcb earth mover is selling cheaper by 2% at inr 84 today …,1
68,xperia z ultra is selling cheaper at inr 13398 today,1
69,"nikon india relents, ready to drop the names of  and  from caution notice. the matter was heard by karnatka high court",0
70,my report on new feature,0
71,at best price …,1
72,- 53% off on mamalove intex fun balls in snapdeal at lowest deal price,1
74,- 45% off on intex jump o lene play house in snapdeal at lowest deal price,1
75,- 71% off on imported by nyrwana water inflatable intex tub pool in snapdeal at lowe…,1
76,16gb ipad mini with wi-fi is selling cheaper at inr 15920 today …,1
78,at best price,1
80,gear fit-r3500(charcoal black) is selling cheaper at inr 7400 today …,1
81,earn upto 10% on at via …,1
83,watch how ramanuja quit his job and created a successful retail business with help of  in,0
