,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"@Flipkart order id OD303703756503260600
Order recived. When u will send Yatra code to my mail id.",FALSE,0,Flipkart,25-08-2015 10:53,FALSE,NA,6.36129E+17,57947109,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vinay9849,0,FALSE,FALSE,NA,NA
2,Flipkart : Samsung Galaxy J5(White / Black /  Gold 8 GB) at just Rs.11999 - Worthy Phone - http://t.co/xGCMwYoIpV http://t.co/3gllsflUrQ,FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://www.offerheoffer.com"" rel=""nofollow"">offerheoffer</a>",offerheoffer,0,FALSE,FALSE,NA,NA
3,@GodrejNupur @Flipkart @Nailzfashionist @PujaSamanta21  join,FALSE,0,GodrejNupur,25-08-2015 10:53,FALSE,6.36127E+17,6.36129E+17,471727511,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SaxenaSonali77,0,FALSE,FALSE,NA,NA
4,"RT @Flipkart: ""India is leading the mobile revolution in the world &amp; mobile is no more just a choice"" - @punitsoni #FlipkartPing http://t.c…",FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lalith0106,21,TRUE,FALSE,NA,NA
5,RT @GodrejNupur: @haravind Join the @GodrejNupur #ColourThatCares #NaturalBlackWeek #Contest &amp; stand a chance to win 2 @flipkart vouchers!,FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Imraj22,1,TRUE,FALSE,NA,NA
6,"RT @punitsoni: Launched Ping! A fun, social way to shop with friends on Flipkart.
Now go update your Flipkart app! http://t.co/dWjIOzQ8As",FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ZPrad,4,TRUE,FALSE,NA,NA
7,RT @GodrejNupur: @IamAmar2 Join the @GodrejNupur #ColourThatCares #NaturalBlackWeek #Contest &amp; stand a chance to win 2 @flipkart vouchers!,FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Imraj22,1,TRUE,FALSE,NA,NA
8,"@GodrejNupur @Flipkart 

Join 
And won big 
@nsingh830 
@AhujaNiki149 

 #NaturalBlackWeek",FALSE,0,GodrejNupur,25-08-2015 10:53,FALSE,6.36127E+17,6.36129E+17,471727511,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shwetathakur9,0,FALSE,FALSE,NA,NA
9,RT @KelloggsMuesli: Ready for some fun? #TweetADescription for the image &amp; you can win Rs.2500 Flipkart vouchers! http://t.co/AoWvO2oY5D,FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mukul_07,64,TRUE,FALSE,NA,NA
10,RT @SamsungMobileIN: #GalaxyJ5J7 with 4G for multi-player gaming. #TheGameJustGotBigger. Available on Flipkart. http://t.co/BUBXM78sMx http…,FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",meghaa358,213,TRUE,FALSE,NA,NA
11,RT @GodrejNupur: @imgulshan10 Join the @GodrejNupur #ColourThatCares #NaturalBlackWeek #Contest &amp; stand a chance to win 2 @flipkart voucher…,FALSE,0,NA,25-08-2015 10:53,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Imraj22,1,TRUE,FALSE,NA,NA
12,Do you have an invite for Flipkart’s Ping? Please send me one.,FALSE,0,NA,25-08-2015 10:52,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Yaavano_Obba,0,FALSE,FALSE,NA,NA
13,RT @punitsoni: Just launched the product...waitlist for Ping invites up to 20k and growing by the minute!!,FALSE,0,NA,25-08-2015 10:52,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Flipkart,1,TRUE,FALSE,NA,NA
14,RT @GodrejNupur: Invite your friends for the #NaturalBlackWeek #Contest. @Flipkart vouchers to be won! #ColourThatCares,FALSE,0,NA,25-08-2015 10:52,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Imraj22,7,TRUE,FALSE,NA,NA
15,RT @KelloggsMuesli: Introducing the #TweetADescription contest! Participate &amp; win Rs.2500 Flipkart vouchers! http://t.co/v7MHk2ZohG,FALSE,0,NA,25-08-2015 10:52,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mukul_07,102,TRUE,FALSE,NA,NA
16,"RT @MaalFreeKaa: Follow To Win
@GodrejNupur 
#ColourThatCares #NaturalBlackWeek #Contest &amp; stand a chance to win 2 @flipkart vouchers!",FALSE,0,NA,25-08-2015 10:52,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Imraj22,2,TRUE,FALSE,NA,NA
17,"@GodrejNupur @Flipkart 

 #NaturalBlackWeek
 #NaturalBlackWeek
 #NaturalBlackWeek",FALSE,0,GodrejNupur,25-08-2015 10:52,FALSE,6.36127E+17,6.36129E+17,471727511,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shwetathakur9,0,FALSE,FALSE,NA,NA
18,#ModiMinistry Flipkart Adds Social Layer to Its Mobile App With Ping - NDTV http://t.co/v1ZUFCfs5S,FALSE,0,NA,25-08-2015 10:51,FALSE,NA,6.36129E+17,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",iVoteForBest,0,FALSE,FALSE,NA,NA
19,No decision yet on 'app-only': Flipkart - http://t.co/5rdFISaGgq,FALSE,0,NA,25-08-2015 10:51,FALSE,NA,6.36129E+17,NA,"<a href=""http://www.theonlinejournalist.com"" rel=""nofollow"">TheOnlineJournalist</a>",Online_Journo,0,FALSE,FALSE,NA,NA
20,"RT @punitsoni: Launched Ping! A fun, social way to shop with friends on Flipkart.
Now go update your Flipkart app! http://t.co/dWjIOzQ8As",FALSE,0,NA,25-08-2015 10:50,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RE_Subhendu,4,TRUE,FALSE,NA,NA
21,RT @GodrejNupur: Invite your friends for the #NaturalBlackWeek #Contest. @Flipkart vouchers to be won! #ColourThatCares,FALSE,0,NA,25-08-2015 10:50,FALSE,NA,6.36129E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",susmitchakrabo1,7,TRUE,FALSE,NA,NA
22,Kids Sports Watches From Rs.170 Flipkart http://t.co/J9ikFIeJTY,FALSE,0,NA,25-08-2015 10:50,FALSE,NA,6.36129E+17,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",KharidoCashBLo,0,FALSE,FALSE,NA,NA
23,"@mapleshelters @rommelferns77 @Flipkart Congo <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> 
#JanGharYojana",FALSE,0,mapleshelters,25-08-2015 10:50,FALSE,6.36107E+17,6.36129E+17,1264176392,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IDeepikafanatic,0,FALSE,FALSE,NA,NA
24,RT @mapleshelters: Unlocking #JanGharYojana  winner #3... Congratulations @rommelferns77! Enjoy your Rs.5K voucher from @Flipkart! :) http:…,FALSE,0,NA,25-08-2015 10:50,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ContestBoard,25,TRUE,FALSE,NA,NA
25,"RT @PriceHuntBiz: Sony Xperia M4 Aqua Dual Price: @snapdeal: Rs 20,300| @Flipkart:Rs. 19,499| @infibeam: Rs.19,089 &lt;--- Best Price  https:/…",FALSE,0,NA,25-08-2015 10:50,FALSE,NA,6.36128E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",infibeam,1,TRUE,FALSE,NA,NA
26,http://t.co/dlEoPGZLNI http://t.co/94djELOgmT,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",DevD_Man,0,FALSE,FALSE,NA,NA
27,RT @mapleshelters: Unlocking #JanGharYojana  winner #3... Congratulations @rommelferns77! Enjoy your Rs.5K voucher from @Flipkart! :) http:…,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IDeepikafanatic,25,TRUE,FALSE,NA,NA
28,"RT @MaalFreeKaa: Follow To Win
@GodrejNupur 
#ColourThatCares #NaturalBlackWeek #Contest &amp; stand a chance to win 2 @flipkart vouchers!",FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://www.thisisaplaceholder.com"" rel=""nofollow"">TimWinsStuff</a>",TimWinsStuff,2,TRUE,FALSE,NA,NA
29,RT: GodrejNupur: Invite your friends for the #NaturalBlackWeek #Contest. Flipkart vouchers to be won! #ColourThatCares,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",dexheimerj,0,FALSE,FALSE,NA,NA
30,RT @harv_junior: That awkward moment when BSE seems to offer more discounts on stocks than Flipkart/Amazon on stockings..@CNBCTV18Live @bus…,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Krishnaknt_92,1,TRUE,FALSE,NA,NA
31,Love it!! Really nice and innovative it is .. @Flipkart @flipkartsupport @AppAdvice @NDTVGadgets @TheNextWeb http://t.co/PQyFCDkahU,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SushruthPGowda,0,FALSE,FALSE,NA,NA
32,#NewWorldOfSnapdeal is not as impressive as #flipkart's new office <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E>,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",venkatprasath,0,FALSE,FALSE,NA,NA
33,RT @karanratra: #FlipkartPing inspired by Apple's iTunes s Ping. Now Shop With Your Friends #startup #social http://t.co/sEMMnWgXbb http://…,FALSE,0,NA,25-08-2015 10:49,FALSE,NA,6.36128E+17,NA,"<a href=""http://tweetfull.com"" rel=""nofollow"">Tweet Full</a>",slavomir_hruska,1,TRUE,FALSE,NA,NA
34,RT @SamsungMobileIN: Conquer gaming. Samsung #GalaxyJ5J7 with 4G for multi-player gaming.Now available on Flipkart. http://t.co/H4IgN2xsOD …,FALSE,0,NA,25-08-2015 10:48,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anju_anioobaby,190,TRUE,FALSE,NA,NA
35,"#Flipkart rolls out Ping, a social network with built in chat feature http://t.co/AnDAuQpG0e Time to Quit Flipkart :( http://t.co/Z7GTBhlEwl",FALSE,0,NA,25-08-2015 10:48,FALSE,NA,6.36128E+17,NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>",jairajp,0,FALSE,FALSE,NA,NA
36,"Join @GodrejNupur with its #ColourThatCares #NaturalBlackWeek contest and win @Flipkart vouchers
@Pritam_db @chocolatygirl25 @Bollywoodarian",FALSE,2,GodrejNupur,25-08-2015 10:47,FALSE,6.36127E+17,6.36128E+17,471727511,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Vastly_average,0,FALSE,FALSE,NA,NA
37,RT @GodrejNupur: Invite your friends for the #NaturalBlackWeek #Contest. @Flipkart vouchers to be won! #ColourThatCares,FALSE,0,NA,25-08-2015 10:47,FALSE,NA,6.36128E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",maliabhi,7,TRUE,FALSE,NA,NA
