,score,text,score_ideal
1,0,"flipkart app gets ping feature, allows users to chat while shopping",1
2,4,rt introducing the contest! participate &amp; win rs.2500 flipkart vouchers!,1
3,-1,focussed on mobility but no timeline to go flipkart - -,-1
4,0,"rt flipkart rolls out ping, a social network with built in chat feature",1
5,1,let’s shop together on ping by flipkart. here’s an invite,1
6,0,rt finding your favourite fashion products was never so easy! try out the new flipkart app!,1
7,0,rt this is the team that made  ping possible. they pulled off something not many didn't even dare to think.,1
8,0,flipkart 25th august deal of the day ... -,0
9,0,competing with flash sale as against  falsh sale of,0
10,0,&lt;a apple iphone 6 from,0
11,0,"flipkart rolls out ping, a social network with built in chat feature",1
12,1,"flipkart and adobe executives join hands with an angel to float platform for used cars, spinny",1
13,0,&lt;a apple iphone 6 plus from,0
14,-1,ceos of two start-ups acquired by flipkart resign,-1
15,0,"lover ? 
f&amp;d a111u multimedia speaker at 50% off rs 1349  here 
rs 2079 
rs 2078",1
16,0,flipkart adds social layer to its mobile app with ping,1
17,-1,"rt \india is leading the mobile revolution in the world &amp; mobile is no more just a choice\"" -""",1
18,5,participate and win flipkart vouchers come  join now,1
19,0,i m waiting for my copy.. as flipkart say its out for delivery..,-1
20,6,"rt  
thanks a lot team for this awesome gift.",1
21,2,rt consumers can choose contacts they want to share their chosen products with and have real time conversation with them,0
22,0,rt flipkart adds social layer to its mobile app with ping,1
23,0,"got the replacement &amp; its the same issue. not working after 5.1 upgrade. i'm done, seeking",-1
24,0,making sense of flipkart’s and snapdeal’s valuations through their gmv,0
25,1,earn  and  vouchers for answering surveys on join at,1
26,4,rt for this pic to win vouchers from flipkart!,1
27,3,"sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
28,1,"rt launched ping! a fun, social way to shop with friends on flipkart.
now go update your flipkart app!",1
29,1,&gt;  new feature is invite only. has an option to ask friends for one. but doesn't tell me who has one. uh.,-1
30,0,- 51% off on bosch gsb 500 re kit power &amp; hand tool kit at flipkart,1
31,3,thank you. this link takes me to the flipkart first page on the app but doesn't allow me to renew it.,-1
32,10,"follow to win
 
&amp; stand a chance to win 2  vouchers!",1
33,1,invite your friends for the  vouchers to be won!,-1
34,2,hey! do you have an invite for ping by flipkart? please send me one!,0
35,7,rt  join the  &amp; stand a chance to win 2  vouc…,1
36,0,rt a move towards building social commerce.,1
37,3,is not as impressive as new office,-1
38,8,love it!! really nice and innovative it is ..,1
39,-2,rt that awkward moment when bse seems to offer more discounts on stocks than on,-1
40,1,invite your friends for the flipkart vouchers to be won!,1
41,10,"rt follow to win
 
&amp; stand a chance to win 2  vouchers!",1
42,8,rt unlocking  winner congratulations  enjoy your rs.5k voucher from,1
43,1,earn    and  vouchers for answering surveys on join at,1
44,3,"rt sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
45,0,rt the team that made a reality. here's to more social shopping days.,1
46,0,kids sports watches from rs.170 flipkart,0
47,2,rt  thank you very much,1
48,1,rt invite your friends for the  vouchers to be won!,1
49,-1,no decision yet on flipkart -,-1
50,0,rt let's hear more from,0
51,0,flipkart adds social layer to its mobile app with ping - ndtv,1
52,2,do you have an invite for flipkart’s ping? please send me one.,0
53,7,rt  join the  &amp; stand a chance to win 2  voucher…,1
54,0,experimenting around social shopping..and hence a stand-alone app?,0
55,0,"(flipkart adds social layer to its mobile app with ping)

the social shopping feature has...",1
56,3,rt flipkart ping announced. a social network on top of the flipkart app. let's you share products with anyone and chat.,1
57,0,flipkart ping brings social networking into online shopping -...,1
58,0,flipkart adds social layer to its mobile app with ping,1
59,2,thanks a lot rohit!,1
60,0,and when are you declaring the flipkart voucher winners?,0
61,0,"rt in 4 yrs,",0
62,4,play  win  vouchers,1
63,-1,"rt \india is leading the mobile revolution in the world &amp; mobile is no more just a choice\\ -""",1
64,0,toys jcb earth mover is selling cheaper by 2% at inr 84 today,1
65,0,"with ping, flipkart brings social networking to app",1
66,0,"flipkart blends social with shopping, launches ping for messaging",1
67,2,"rt snapdeal
amazon 
myntra 
flipkart 
yepme 

rupee 
promises 

everything is available on huge discounts.",0
68,2,hey! do you have an invite for ping by flipkart? please send me,0
69,0,"flipkart announces ping, a social network that lets friends shop together news, news - india today",1
70,0,buy camphoor lamp,0
71,4,rt ready for some fun? for the image &amp; you can win rs.2500 flipkart vouchers!,1
72,1,earn  and  vouchers for answering surveys   on join at,1
73,0,"with ping, flipkart brings social networking to new e-commerce major flipkart today said it is foc...",1
