,score,text,score_ideal
1,0,get the finest onlyn women's wear collection on,1
2,0,yamaha home theatres upto 20% off  upto 8% from &gt;&gt;,1
3,0,install snapdeal app,0
4,6,welcome to snapdeal appshare! a chance to invite friends and earn rewards. - download snapdeal app &amp; sign in using invite code,-1
5,-1,"my order 7430542152, i got refund of just rs. 99.snapdeal cancelled the order not me",0
6,0,"que tal?, te gustan los objetos frikis? tenemos montones! entra a nuesta pagina web!",0
7,0,benq gw2760hs 27 inch monitor is selling cheaper at inr 15756 today,1
8,-1,- 64% off on alphabet &amp; number tray in snapdeal at lowest deal price,1
9,1,- 42% off on jouet sweet cuddle musical cot mobile early development toys in snapdeal at lowest deal …,1
10,-1,- 44% off on intex jump transparent ring bounce in snapdeal at lowest deal price,1
11,5,superb transformation     lovin it...!!!,1
12,0,rt in the capital of india! you have gotta check it out,1
13,0,127 cm (50) full hd led television is selling cheaper at inr 48165 today,1
14,4,rt its the kind of workplace which evry working person dreams of. its a dream come true for some,1
15,0,rt  get the finest onlyn women's wear collection on,0
16,2,rt  we transform lives 'n now spaces! welcome to,0
17,10,great things can be accomplished with ease when you have the best team in the world! via,1
18,0,alibaba-backed snapdeal launches similar image search feature findmystyle via,1
19,4,snapdeal is the best. fun to choose from the large number of brands.,1
20,0,tata bye bye snapdeal. aise service dete raho or customer bhagte rahenge.,-1
21,4,practically addicted to shopping on snapdeal. love the huge range of products.,1
22,0,rt  launches similar image search feature findmystyle by,0
23,0,rt find out the truth about food myths today!,0
24,5,rt watch how ramanuja quit his job and created a successful retail business with help of  in,0
25,0,men’s clothing up to 70% off,1
26,-1,m sure u wanna find these wooden stuff damn sexy,1
27,2,"rt darshan started his business and took it to the next level with the help of 
watch his story",0
28,0,moodi musalmano sy q darta hy reply fast?,0
29,2,newly infrastructure n new office  n new think every thing is new so always choose   4 better services,1
30,4,its the kind of workplace which evry working person dreams of. its a dream come true for some,1
31,-1,hello  m sure u wanna find these wooden stuff damn sexy,1
32,3,coffeemug for 8200rs  wow. the perils of a marketplace model. all kinds of junk getting into a great site!!,1
33,0,- 24% off on timex empera ti000r60300 womens watch at snapdeal,1
34,3,"get good ratings on products uploaded on flipkart , snapdeal by jazzvin",0
35,1,please dm us your contact no. we'll get in touch with you &amp; make sure that this is sorted. thanks! -kavya,0
36,1,"rs 4,999 micromax canvas spark flash sale on budget smartphone available from…",1
37,0,sir... m sure u wanna find these wooden stuff dam,-1
38,3,m sure u wanna find these wooden stuff dam sexy,1
39,0,shop,0
40,0,"flipkart, snapdeal, amazon, others dole out incentives to sellers",0
41,-2,"hello sir, still there is no response. only one mail received with alternate number requisition. but still no response.",-1
42,0,direct order the collaboration of snapdeal and tata for buying home online effect the sales pertinent to  zggc,0
43,2,"there are plenty opportunity out there.
depends on what you can snap into a deal",1
44,0,what a fast delivery. only in 3 days ...great,1
45,-1,m sure u wll find these wooden cases for iphone damn sexy,1
46,0,galaxy a5 is selling cheaper by 3% at inr 19200 today,1
47,5,watch how ramanuja quit his job and created a successful retail business with help of snapdeal in,0
48,1,desire 500 dual sim is selling cheaper at inr 13999 today,1
49,0,xperia e4 dual sim is selling cheaper at inr 10150 today,1
50,3,download best 4 mre offers on …,1
51,-2,30504 value batten emergency lights is selling cheaper at inr 1995 today …,1
52,0,toys jcb earth mover is selling cheaper by 2% at inr 84 today …,1
53,0,xperia z ultra is selling cheaper at inr 13398 today,1
54,0,"nikon india relents, ready to drop the names of  and  from caution notice. the matter was heard by karnatka high court",0
55,0,my report on new feature,0
56,3,at best price …,1
57,3,- 53% off on mamalove intex fun balls in snapdeal at lowest deal price,1
58,-1,- 45% off on intex jump o lene play house in snapdeal at lowest deal price,1
59,0,- 71% off on imported by nyrwana water inflatable intex tub pool in snapdeal at lowe…,1
60,0,16gb ipad mini with wi-fi is selling cheaper at inr 15920 today …,1
61,3,at best price,1
62,0,gear fit-r3500(charcoal black) is selling cheaper at inr 7400 today …,1
63,0,earn upto 10% on at via …,1
64,5,watch how ramanuja quit his job and created a successful retail business with help of  in,0
65,3,i sincerely regret the experience you have been through. kindly share your order id. i'll help you out. thanks! mukti.,-1
66,5,"sir.. m sure you will find these exclusive wooden cases 
very sexy",0
67,0,"upon my tweeting, somebody from  called up, clarified doubt. good. thanks.",1
68,1,"fashion koni heeled slip-ons..
for see more sample and buy please open the below link..",0
69,4,snapdeal makes me happy!!! love the huge range of products.,1
70,0,rt snapdeal new office looks awesome! how can i apply for post ?,1
71,4,practically addicted to shopping on snapdeal. i found lots of amazing offers here.,1
72,3,"yes, loved this",1
73,0,how shameless u ppl r. now u r not replying also.,-1
74,0,80% of  orders will be conducted via over the next 2y,0
75,4,the ambience is awesome,1
76,0,would be finishing my degree next year.....would be,0
77,7,it is great shopping on snapdeal. fun time. i am liking the offers on,1
78,2,i hope i get to work there someday!,0
79,3,they just loved it,1
80,2,rakhi upto 80% off on toys &amp; gift store at snapdeal,1
81,0,showed the pics to my friends today!,0
82,4,is amazing workplace ever,1
83,-3,"worst  company i ever used,they cant even do what they write in email for refund",-1
84,8,cheers and good luck,1
85,8,new office with beautiful interior is the perfect gift to employees,1
86,4,looks fantastic,1
87,3,best place to work,1
88,3,- 48% off on intex underwater fun swimming pool- 6 feet in snapdeal at lowest deal price,1
89,0,aeolus tyre on me,0
90,3,snapdeal is a nice website. shopping on snapdeal is very easy.,1
91,0,"hey, look what i found on snapdeal. pitambari creations white fabric wedding cards, pack of 50...",1
92,0,toys gifts store upto 80% off  upto 8% from &gt;&gt;,1
93,6,snapdeal has made their employees super happy,1
94,0,true story!,0
95,5,superb interior,1
96,0,goes contemporary -,0
97,6,would love to work in this lovely office,1
98,4,makes  everyone to work in snapdeal awesome !!,1
99,0,rt register now to own the 1.3ghz processor &amp; 8mp camera loaded,0
100,4,is definitely the most amazing workplace ever,1
101,7,"wow
i loved it !!",1
102,2,"rt snapdeal
amazon 
myntra 
flipkart 
yepme 

rupee 
promises 

everything is available on huge discounts.",0
103,4,amazing place to work at,1
104,3,"gurgaon is so lucky ,so 
 is here !!",0
105,2,rt welcome awesomeness in your life with register today -,1
106,0,rt buy the entire  collection from  click the link and check out the collection. htt…,0
107,0,snapdeal new office looks awesome! how can i apply for post ?,1
108,0,"its a
!!",0
109,2,ha  g,0
110,4,"amazing infrastructure, a place to work happily",1
111,2,we transform lives 'n now spaces! welcome to,0
112,2,without doubt its a good place for work   !!,1
113,0,apologies for the experience. i'll get this checked with my team &amp; update you on this. thanks! -kavya,1
114,12,"wow it look like grand welcome , definitely i want to work here",1
115,4,rt isn't this the best place to work in it looks so cool,1
116,0,rt only the beginning of our journey...,0
117,3,great to know that  has opened new office in !!,0
118,6,is the place where everyone would love to work &amp; work to love,1
119,3,one of the best places to work in is the !,1
120,3,totally in in love with snapdeal's new office....,1
121,1,"looks so cool.. 
i wish to work here !!",1
122,3,beautifully &amp; intelligently designed,1
123,9,wow  it's the best place   where i would like to work,1
124,0,keep climbing new summits.,1
125,5,"tweeps! join   for the &amp; 
win a brand new",0
126,2,"cover hub nearby,you all will enjoy your parties &amp;  birthdays",0
127,4,"a gym, a spa, a library..everything wow",1
128,11,superb infrastructure &amp; beautiful interior one would love to have!,1
129,3,isn't this the perfect place to do work,1
130,3,rt     super awesome!,1
131,3,is the place where everyone would love to do work there,1
132,2,rt thanks to  we are giving away one more xiaomi mi4i. click here to know more&gt;&gt;,1
133,3,enjoy your new premises with more power to boost you.,1
134,2,thanks to  we are giving away one more xiaomi mi4i. click here to know more&gt;&gt;,1
135,2,still waiting for the product despite making 4 calls to your customer care today itself...,-1
136,6,amazing welcome to employees at,1
137,1,buying on snapdeal is a smart choice. customer service of snapdeal was good. got  more than i expected.,1
138,6,i am a loyal and happy snapdeal shopper. never found online shopping so convenient.,1
139,0,amazement with  new wonder in gurgaon for snapdeal  employees,1
140,6,everyone would love to work this beautiful place,1
141,3,"rt congrats  and  on your 
seems lik a blast
you should invite ggn companies to …",0
142,2,"hope you heard from us &amp; we were able to address the issue. do let me know, if you need any further assistnace. thanks! -kavya",0
143,4,its all about the job satisfaction with amazing here,1
144,2,without any doubt  is the perfect place to work in town!,1
145,1,now i too want to work in  it has a world class campus in gurgaon.,1
146,4,amazing place to work is and it's the,1
147,0,gear fit-r3500(charcoal black) is selling cheaper at inr 7400 today,1
148,5,they give impressive welcome to employees at isn't it amazing??,1
149,0,complete exaggeration.... isn't it?,-1
150,0,- 53% off on bosch gsb450re impact drill with 100pcs home kit at snapdeal,1
151,0,ncr is shining with office at gurgaon,1
152,0,- 83% off on 41 pcs home tool kit at snapdeal,1
153,2,the world of new opportunities,0
154,0,"sale!!! (somebody posted on fb) 
amazon, snapdeal, flipkart sale is over....
\ nse-bse sale started ..flat 20% off \""""",1
155,0,hi  manufacturer's warranty will be given with the product. you can claim the warranty from the invoice provided by us.thanks! kavya,0
156,0,earn upto 10% on at via,0
157,-1,- 38% off on toyhouse 4-in-1 luxury tricycle in snapdeal at lowest deal price,1
158,-1,- 50% off on playtool 2-in-1 tricycle cum scooter in snapdeal at lowest deal price,1
159,0,guys the most happening place to work is is here and it is,1
160,6,great interiors n great designs,1
161,11,it has the most friendly atmosphere &amp; a superb cool fascinated place to work!,1
162,-1,no,-1
163,-2,"same product two different price.
shame on you",-1
164,4,found shopping on snapdeal to be very good. expecting more wonderful offers from snapdeal.,1
165,1,"rs 4,999 micromax canvas spark flash sale on budget smartphone available from wednesday noon
 
…",0
166,3,we got one great place to work in and it is without a doubt!,1
167,5,"cool things, nice shopping on snapdeal. makes you smile. have a really cool mobile shopping app.",1
168,1,buying on snapdeal is a smart choice. i found shopping on snapdeal to be very simple and easy.,1
169,3,it will be a definite pleasure to work in snapdeal.,1
170,6,amazing red carpet welcome for the employees,1
