,score,text,score_ideal
1,0,"flipkart app gets ping feature, allows users to chat while shopping",1
2,1,rt introducing the contest! participate &amp; win rs.2500 flipkart vouchers!,1
3,1,focussed on mobility but no timeline to go flipkart - -,-1
4,0,"rt flipkart rolls out ping, a social network with built in chat feature",1
5,0,let’s shop together on ping by flipkart. here’s an invite,1
6,-1,rt finding your favourite fashion products was never so easy! try out the new flipkart app!,1
7,-1,rt this is the team that made  ping possible. they pulled off something not many didn't even dare to think.,1
8,0,flipkart 25th august deal of the day ... -,0
9,0,competing with flash sale as against  falsh sale of,0
10,0,&lt;a apple iphone 6 from,0
11,0,"flipkart rolls out ping, a social network with built in chat feature",1
12,0,"flipkart and adobe executives join hands with an angel to float platform for used cars, spinny",1
13,1,&lt;a apple iphone 6 plus from,0
14,0,ceos of two start-ups acquired by flipkart resign,-1
15,0,"lover ? 
f&amp;d a111u multimedia speaker at 50% off rs 1349  here 
rs 2079 
rs 2078",1
16,0,flipkart adds social layer to its mobile app with ping,1
17,1,"rt \india is leading the mobile revolution in the world &amp; mobile is no more just a choice\"" -""",1
18,1,participate and win flipkart vouchers come  join now,1
19,0,i m waiting for my copy.. as flipkart say its out for delivery..,-1
20,1,"rt  
thanks a lot team for this awesome gift.",1
21,0,rt consumers can choose contacts they want to share their chosen products with and have real time conversation with them,0
22,0,rt flipkart adds social layer to its mobile app with ping,1
23,-1,"got the replacement &amp; its the same issue. not working after 5.1 upgrade. i'm done, seeking",-1
24,1,making sense of flipkart’s and snapdeal’s valuations through their gmv,0
25,0,earn  and  vouchers for answering surveys on join at,1
26,1,rt for this pic to win vouchers from flipkart!,1
27,1,"sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
28,0,"rt launched ping! a fun, social way to shop with friends on flipkart.
now go update your flipkart app!",1
29,-1,&gt;  new feature is invite only. has an option to ask friends for one. but doesn't tell me who has one. uh.,-1
30,-1,- 51% off on bosch gsb 500 re kit power &amp; hand tool kit at flipkart,1
31,1,thank you. this link takes me to the flipkart first page on the app but doesn't allow me to renew it.,-1
32,1,"follow to win
 
&amp; stand a chance to win 2  vouchers!",1
33,0,invite your friends for the  vouchers to be won!,-1
34,1,hey! do you have an invite for ping by flipkart? please send me one!,0
35,1,rt  join the  &amp; stand a chance to win 2  vouc…,1
36,0,rt a move towards building social commerce.,1
37,-1,is not as impressive as new office,-1
38,1,love it!! really nice and innovative it is ..,1
39,1,rt that awkward moment when bse seems to offer more discounts on stocks than on,-1
40,0,invite your friends for the flipkart vouchers to be won!,1
41,1,"rt follow to win
 
&amp; stand a chance to win 2  vouchers!",1
42,1,rt unlocking  winner congratulations  enjoy your rs.5k voucher from,1
43,0,earn    and  vouchers for answering surveys on join at,1
44,1,"rt sony xperia m4 aqua dual rs 20,300| 19,499| rs.19,089 &lt;--- best price",1
45,1,rt the team that made a reality. here's to more social shopping days.,1
46,0,kids sports watches from rs.170 flipkart,0
47,1,rt  thank you very much,1
48,0,rt invite your friends for the  vouchers to be won!,1
49,-1,no decision yet on flipkart -,-1
50,0,rt let's hear more from,0
51,0,flipkart adds social layer to its mobile app with ping - ndtv,1
52,1,do you have an invite for flipkart’s ping? please send me one.,0
53,1,rt  join the  &amp; stand a chance to win 2  voucher…,1
54,1,experimenting around social shopping..and hence a stand-alone app?,0
55,0,"(flipkart adds social layer to its mobile app with ping)

the social shopping feature has...",1
56,0,rt flipkart ping announced. a social network on top of the flipkart app. let's you share products with anyone and chat.,1
57,0,flipkart ping brings social networking into online shopping -...,1
58,0,flipkart adds social layer to its mobile app with ping,1
59,-1,thanks a lot rohit!,1
60,1,and when are you declaring the flipkart voucher winners?,0
61,0,"rt in 4 yrs,",0
62,1,play  win  vouchers,1
63,1,"rt \india is leading the mobile revolution in the world &amp; mobile is no more just a choice\\ -""",1
64,-1,toys jcb earth mover is selling cheaper by 2% at inr 84 today,1
65,0,"with ping, flipkart brings social networking to app",1
66,0,"flipkart blends social with shopping, launches ping for messaging",1
67,0,"rt snapdeal
amazon 
myntra 
flipkart 
yepme 

rupee 
promises 

everything is available on huge discounts.",0
68,1,hey! do you have an invite for ping by flipkart? please send me,0
69,1,"flipkart announces ping, a social network that lets friends shop together news, news - india today",1
70,1,buy camphoor lamp,0
71,1,rt ready for some fun? for the image &amp; you can win rs.2500 flipkart vouchers!,1
72,0,earn  and  vouchers for answering surveys   on join at,1
73,0,"with ping, flipkart brings social networking to new e-commerce major flipkart today said it is foc...",1
74,0,flipkart puts a hold on plans to go app-only » nextbigwhat,-1
75,-1,"no decision yet on 'app-only', says flipkart.",-1
76,0,flipkart’s ravi vora steps down as ceo of strategic brands,-1
77,0,waiting for an invite to check how it works !!,0
78,0,"shreya ghoshal, shreyaghoshal   -&gt; discover flipkart offers, coupon codes at",0
79,0,"'gratitude', 'seatbelt', 'humbling' &amp; 'bangaluru'   -&gt; discover flipkart offers, coupon codes at",0
80,-1,dear  do you expect me to verify my phone no. every 30 days?,-1
81,0,rt flipkart launches ping. now shop with your friends,1
82,0,"flipkart, snapdeal, amazon, others dole out incentives to sellers",1
83,0,"rt flipkart loses rs 2.20 for a re earned, amazon loses rs1.90 and snapdeal rs 1.70.
total losses flipkart rs 5440cr,snapdeal 53…",-1
84,-1,all flipkart promise not fullfilled and they still have my products and money as well.seller's stop working with them.,-1
85,0,whatsapp ... what else.... here comes the ping... lol... shop chat... rockzzz,0
86,0,my new shoes &amp; bata sandals(same as the one which i lost in goa) ordered from flipkart &amp; got,0
87,-1,"how can you be so indifferent with those who are not your fkrt 1st customers.
this is pathetic behaviour.",-1
88,0,here comes   ping,0
89,0,... what else.... here comes the ping... lol... shop chat... rockzzz,0
90,0,earn  and         vouchers for answering surveys on join at,1
91,0,flipkart goes social; now chat with your friends when you shop.,1
92,1,at best price,1
93,0,online shopping goes social with flipkart’s ping – times of india,1
94,1,rt  is bridging gap between &amp; one step at a time by,1
95,1,mentoring the 'i' discipline (english) 1st edition (paperback) is selling cheaper at inr 164 today,1
96,0,"od303332734471861100
was out 4 few days n servant received the product on my behalf..",0
97,0,this is something interesting keep it on guys ...  is innovating,1
98,0,what does oder on hold means? when will my ordier with order id order  od303683387431286500 be delivered?,0
99,0,earn  and  vouchers        for answering surveys on join at,1
100,0,flipkart ping let’s users chat while they shop,1
101,1,rt  join the  &amp; stand a chance to win 2  vouchers!,1
102,0,rt with 4g for multi-player gaming. available on flipkart. http…,1
103,0,expect large e-commerce firms across globe to follow flipkart,1
104,1,guess which book i ordered from  right now?,0
105,-1,why dumped only policy?,0
106,0,earn  and  vouchers for        answering surveys on join at,1
107,0,rt wait list at 50k and climbing!!,1
108,0,"rt screengrab replacing links. leveraging contacts. social proof, we-know--you-better-coz-we…",0
109,0,online shopping goes social with flipkart,1
110,0,back from dead inside the subhas bose mystery is selling cheaper at inr 295 today,1
111,0,rt 40k waitlist and going!!! ping is exploding on flipkart!,1
112,0,t400 wireless optical mouse mouse is selling cheaper at inr 899 today,1
113,0,creature iii speaker is selling cheaper at inr 2999 today,1
114,0,"flipkart launches 'ping', a brand new social collaborative shopping experience on its mobile app",1
115,0,download best 4 mre offers on,1
116,0,"flipkart launches a fun, social way to shop with friends on flipkart",1
117,0,rt all right  dev team has some some amazing stuff with  lightening fast data transfers and les…,1
118,1,smashwords and flipkart to end distribution relationship - amazon scores victory,-1
119,0,earn  and  vouchers for answering        surveys on join at,1
120,1,is this a good choice for nexus 5 charging cable? please suggest if any better options,0
121,1,"rt five  egv, five winners for a new rt if you're excited and ready for win? 

 w…",1
122,0,rt flipkart ping is probably one of the first game changing innovation coming from an indian tech startup.,1
123,0,"join ama - i'm amod malviya, former cto, flipkart . ask me anything! on",1
124,0,5 amazing flipkart vouchers for our,1
125,0,"i had offer of 80% off on flipcover while ordering samsung j7, now offer has been modified by u to 40%",-1
126,-1,head of learning at flipkart. now that's an interesting role in an e-commerce organization. any idea of da role sir?,1
127,1,focussed on mobility; no timeline to go flipkart -,-1
128,0,i orderded a mouse yesterday for 655rs. and u'r selling it now at 599.. do cancel my old order and confirm my new,0
129,0,e560 multi-function inkjet printer is selling cheaper at inr 5698 today,1
130,1,"hey folks, why is it, hard to find your email address on your webpage, need to check something on our recent delivery. plz reply",-1
131,1,hey can you please invite me to the flipkart ping!,0
132,0,flipkart launches ‘ping’- a new ‘social shopping’ experience on the flipkart app,1
133,0,launches ‘ping’- a new ‘social shopping’ experience on the flipkart app,1
134,1,"just bought glucometer strips. wins over , and even what…",1
135,0,awesome move!!! wants to make mobile shopping a more social experience…,1
136,0,flipkart what is wrong with you people?!,-1
137,1,latest update of make new n innovative but they forgot to solve the al…,-1
138,1,at best price …,1
139,0,... what else.... here comes the ping... lol... shop chat.…,0
140,0,this is something interesting keep it on guys ... flipkart is inn…,1
141,-1,why dumped only policy? …,0
142,0,adds social layer to its with,1
143,1,"pricetrak eurekaforbes pathetic brand, neither buy it nor sell it",-1
144,1,at best price ever offers here,1
145,0,launches ‘ping’- a new ‘social shopping’ experience on the flipkart app …,1
146,1,latest mobiles phone with price via,1
147,-1,"yes, time is not ripe to go for app only model for companies like flipkart",-1
148,1,"rt  from last 16 days (from 7th aug) i m waiting for my order to get delivered.
when the delivery date given by you …",-1
149,1,"rt  please change your tagline from
ab har wish hogi puri
to
ab har wish rahegi adhuri

because you don't care abt y…",-1
150,-1,"rt  i think on 7th aug 2015, i made a big mistake by placing an order during your freedom sale.",-1
151,0,flipkart ping brings social networking into online,1
152,0,rt tiwariamit784 rt focused on but no timeline to go flipk…,-1
153,0,"-&gt; discover flipkart offers, coupon codes at",1
154,1,sorry for trolling. love you flipkart. your delivery service is also very fast like your assistance service,1
155,0,hey flipkart i am buying laptop tommorow ! any discount from any specific card or using app ? let me know fast,0
156,1,"rt the contest continues! here’s our next task. shoot, share &amp;
win a dslr, cool cams &amp; selfie sticks!",1
157,0,rt adds social layer to its with,1
158,1,flipkart working to gain mastery over artificial co-founder sachin bansal,1
159,1,"hi!! i was just telling  that they uses the same kind of invites for their ping.. 
cheers",0
160,0,u need sum1 frm ur ecom team to guide u..ur mentioning snapdeal n pasting link of flipkart...may b  can help.,-1
161,0,flipkart moto g 3rd gen. offers &amp; coupons august 2015,1
162,1,\flipkart is bridging the gap between e-commerce and commerce,1
163,-1,"rt shopping was never so easy! shop anytime, anywhere on the flipkart mobile app!",1
164,1,if u want to buy a new smart phone buy it now at,0
165,1,"buy j7(gold, 16  at",0
166,0,earn          and  vouchers for answering surveys on join at,1
167,0,audio technica ath-m40x over-the-ear headphones is selling cheaper at inr 6141 today,1
168,0,pkss 1.2 1.2 electric kettle is selling cheaper at inr 1164 today,1
169,0,retweet_count,0
170,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt please""",1
171,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt p…\""""",1
172,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt plea…\""""",1
173,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt pleas…\""""",1
174,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt pl…\""""",1
175,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt please …\""""",1
176,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt ple…\""""",1
177,-1,rt wow!  is the world's 2nd largest bookseller and only indian in the top 10,1
178,1,etretail | focussed on mobility but no timeline to go flipkart,-1
179,1,do you have an invite for please send me one.,0
180,0,earn  and  vouchers for answering surveys on         join at,1
181,1,"rt  participate in our \all is well with hifi\\ &amp; win flipkart egv's by answering simple questions! rt please…\""""",1
182,1,cooler master nse-300-kkn2 mid tower cabinet is selling cheaper at inr 3694 today,1
183,0,top 10 online bookstores in the world.,1
184,0,rt flipkart introduces chat feature on app with ping,1
185,0,"flipkart to hire 12,000 people this year to expand operations -",1
186,1,buy flipkart gv worth rs 4000 and get gv of rs 250 at flipkart app,1
187,1,this is a re-verification campaign to increase the security of your flipkart account.,1
188,1,latest script to buy lenovo k3 note in flipkart flash sale - sriraman,0
189,0,flipkart app now allows you to have real-time chat with flipkart has introduced a new in-app feature ...,1
190,0,denim musk deodorant roll-on  -  for men is selling cheaper at inr 215 today,1
191,0,rt conquer gaming. samsung with 4g for multi-player gaming.now available on flipkart. …,1
192,-1,eta0u80ibeginu battery charger is selling cheaper at inr 138 today,1
193,0,online retail company flipkart launches in-app chat feature called ping today,1
194,0,earn  and  vouchers for answering surveys on join         at,1
195,0,expect large e-commerce firms across globe to follow flipkart - business standard,1
196,1,american tourister zing 08 laptop backpack is selling cheaper at inr 1387 today,1
197,0,online shopping goes social with flipkart's ping -,1
198,0,standard hdmi a-a hdmi cable is selling cheaper at inr 395 today,1
199,1,really happy to see ping launch congrats to the team,1
200,1,shopping goes social with flipkart's would you like to take your friends along when you go online shoppi...,1
201,0,yes these are the flipkart product listing ads .. they are creating new ad formats to promote merchant sales,1
202,1,"this is the reason why  is leader and shopping app   
great job",1
203,-1,"i ask to you 1question to all flipkart senior why your delivery boy &amp; people doing such 
gunda giri with me.",-1
204,-1,"hi flipkart,

today i have receive sms for product delivery but courier boy not deliver my product yet.hence",-1
205,-1,ping is good! when r u making the noise?,1
206,0,flipkart moto g 3rd gen. offers &amp; coupons august flipkart moto g 3rd gen. coupons &amp; offers flipkart surp...,1
207,1,rt smashwords and flipkart to end distribution relationship - amazon scores victory,-1
208,0,"flying fafda monster, slyandsulk   -&gt; discover flipkart offers, coupon codes at",0
209,1,premdeep_jagdev rt .flipkart is bridging gap between &amp;,1
210,0,galaxy tab 4 t331 tablet is selling cheaper at inr 19800 today,1
211,0,v 240 gb ssd internal hard drive is selling cheaper at inr 8900 today,1
212,0,my main fault is that place order on flipkart. flipkart is a very pathetic service provider .,-1
213,1,smashwords and flipkart to end distribution relationship - amazon scores victory  via,-1
214,-1,"true app
great job",1
215,0,draco design bumper case for iphone 5 5s is selling cheaper at inr 2999 today,1
216,0,rt some insights about  which has been rated no1 shopping app on android and ios.,1
217,-1,power-level 1 resistance tube is selling cheaper by 8% at inr 1695 today,1
