,score,text,Score_ideal
1,1,get the finest onlyn women's wear collection on,1
2,0,yamaha home theatres upto 20% off  upto 8% from &gt;&gt;,1
3,0,install snapdeal app,0
4,1,welcome to snapdeal appshare! a chance to invite friends and earn rewards. - download snapdeal app &amp; sign in using invite code,1
5,1,"my order 7430542152, i got refund of just rs. 99.snapdeal cancelled the order not me",0
6,0,"que tal?, te gustan los objetos frikis? tenemos montones! entra a nuesta pagina web!",0
7,1,benq gw2760hs 27 inch monitor is selling cheaper at inr 15756 today,1
8,0,- 64% off on alphabet &amp; number tray in snapdeal at lowest deal price,1
9,1,- 42% off on jouet sweet cuddle musical cot mobile early development toys in snapdeal at lowest deal …,1
10,1,- 44% off on intex jump transparent ring bounce in snapdeal at lowest deal price,1
11,1,superb transformation     lovin it...!!!,1
12,0,rt in the capital of india! you have gotta check it out,1
13,2,127 cm (50) full hd led television is selling cheaper at inr 48165 today,1
14,0,rt its the kind of workplace which evry working person dreams of. its a dream come true for some,1
15,1,rt  get the finest onlyn women's wear collection on,0
16,1,rt  we transform lives 'n now spaces! welcome to,0
17,4,great things can be accomplished with ease when you have the best team in the world! via,1
18,0,alibaba-backed snapdeal launches similar image search feature findmystyle via,1
19,1,snapdeal is the best. fun to choose from the large number of brands.,1
20,0,tata bye bye snapdeal. aise service dete raho or customer bhagte rahenge.,-1
21,0,practically addicted to shopping on snapdeal. love the huge range of products.,1
22,0,rt  launches similar image search feature findmystyle by,0
23,0,rt find out the truth about food myths today!,0
24,1,rt watch how ramanuja quit his job and created a successful retail business with help of  in,0
25,0,men’s clothing up to 70% off,1
26,0,m sure u wanna find these wooden stuff damn sexy,1
27,0,"rt darshan started his business and took it to the next level with the help of 
watch his story",0
28,0,moodi musalmano sy q darta hy reply fast?,0
29,1,newly infrastructure n new office  n new think every thing is new so always choose   4 better services,1
30,0,its the kind of workplace which evry working person dreams of. its a dream come true for some,1
31,0,hello  m sure u wanna find these wooden stuff damn sexy,1
32,0,coffeemug for 8200rs  wow. the perils of a marketplace model. all kinds of junk getting into a great site!!,1
33,0,- 24% off on timex empera ti000r60300 womens watch at snapdeal,1
34,1,"get good ratings on products uploaded on flipkart , snapdeal by jazzvin",0
35,0,please dm us your contact no. we'll get in touch with you &amp; make sure that this is sorted. thanks! -kavya,0
36,1,"rs 4,999 micromax canvas spark flash sale on budget smartphone available from…",1
37,0,sir... m sure u wanna find these wooden stuff dam,-1
38,1,m sure u wanna find these wooden stuff dam sexy,1
39,0,shop,0
40,0,"flipkart, snapdeal, amazon, others dole out incentives to sellers",0
41,0,"hello sir, still there is no response. only one mail received with alternate number requisition. but still no response.",-1
42,0,direct order the collaboration of snapdeal and tata for buying home online effect the sales pertinent to  zggc,0
43,0,"there are plenty opportunity out there.
depends on what you can snap into a deal",1
44,1,what a fast delivery. only in 3 days ...great,1
